source,role_search,title,company,experience,salary,salary_min,salary_max,salary_avg,location,skills_raw,description,posted_date,company_rating,job_url,scraped_at
Naukri,power bi analyst,Power Bi Developer / Power Bi Analyst,Gokaldas Exports,8-12 Yrs,,,,,Bengaluru,Power Bi Reports | power bi dashboards | dax calculations | KPI | Development | Birt | Calculation | Reporting,,2 weeks ago,3.9,https://www.naukri.com/job-listings-power-bi-developer-power-bi-analyst-gokaldas-exports-bengaluru-8-to-12-years-160526016784,2026-06-04T16:06:41.957627
Naukri,power bi analyst,Power BI Analyst / Consultant,Pcgi Systems,3-5 Yrs,,,,,Vadodara,Report generation | Data modeling | Information security | Disaster recovery | query | power bi | Data analytics | QlikView,,3+ weeks ago,4.0,https://www.naukri.com/job-listings-power-bi-analyst-consultant-pcgi-systems-vadodara-3-to-5-years-080823500315,2026-06-04T16:06:41.958027
Naukri,power bi analyst,Sr. Analyst - Power BI,Proclink,5-7 Yrs,,,,,Ahmedabad,python | data analysis | data analytics | ssas | bi | power bi | data warehousing | dashboards,,2 weeks ago,3.5,https://www.naukri.com/job-listings-sr-analyst-power-bi-proclink-consulting-services-llp-ahmedabad-5-to-7-years-200526501156,2026-06-04T16:06:41.958426
Naukri,power bi analyst,Client Consulting Analyst (vendor/operations/Power BI/invoices),Visa Consolidated Support Services India,5-7 Yrs,,,,,Bengaluru,forecasting | vendor management | project management | data analysis | issue resolution | power bi | process improvement | business planning,,1 day ago,3.5,https://www.naukri.com/job-listings-client-consulting-analyst-vendor-operations-power-bi-invoices-visa-consolidated-support-services-india-pvt-ltd-bengaluru-5-to-7-years-030626914520,2026-06-04T16:06:41.958823
Naukri,power bi analyst,"Senior Data Analyst - Data Governance, Power BI",Optum,5-10 Yrs,,,,,Gurugram,compliance | data analytics | data analysis | data management | data lineage | ai | power bi | auditing,,1 day ago,4.0,https://www.naukri.com/job-listings-senior-data-analyst-data-governance-power-bi-optum-global-solutions-india-private-limited-gurugram-5-to-10-years-030626913331,2026-06-04T16:06:41.959224
Naukri,power bi analyst,IAM Power BI Analyst,Zuna Solutions,8-13 Yrs,,,,,Remote,Identity Access Management | Power Bi | Power Query | IAM | Iam Tools | Entra Id | ISO | Sailpoint,,2 weeks ago,,https://www.naukri.com/job-listings-iam-power-bi-analyst-zuna-solutions-bengaluru-8-to-13-years-200526001576,2026-06-04T16:06:41.959587
Naukri,power bi analyst,Urgent Hiring Accounts Analyst  SAP & Power BI-(5-6years Exp) Kolkata,TYASuite Software Solutions Pvt Ltd,5-6 Yrs,,,,,Kolkata,SAP | Power Bi | Accounting | ERP | Financial Analysis | Finance | Analysis | Bi,,1 week ago,2.7,https://www.naukri.com/job-listings-urgent-hiring-accounts-analyst-sap-power-bi-5-6years-exp-kolkata-tyasuite-software-solutions-pvt-ltd-kolkata-5-to-6-years-130526016282,2026-06-04T16:06:41.960024
Naukri,power bi analyst,Data Analyst/ Power BI Developer,Ethiqual Global,3-5 Yrs,,,,,Pune,Data Analytics | Power Bi Dashboards | Power Bi | Data Visualization | Dax | Dashboards | SQL | Python,,1 week ago,3.2,https://www.naukri.com/job-listings-data-analyst-power-bi-developer-ethiqual-global-pune-3-to-5-years-250526009171,2026-06-04T16:06:41.960457
Naukri,power bi analyst,"Investment Risk Analyst (CFA/FRM, SQL, Power BI, Python)",Franklin templeton asset management (india)pvt,4-6 Yrs,,,,,Hyderabad,Front office | Operations research | Data management | Wealth management | Data quality | Asset management | Investment management | Medical insurance,,1 week ago,3.8,https://www.naukri.com/job-listings-investment-risk-analyst-cfa-frm-sql-power-bi-python-franklin-templeton-asset-management-india-pvt-hyderabad-4-to-6-years-270526502660,2026-06-04T16:06:41.960857
Naukri,power bi analyst,Product Analyst (Power BI / Data Analytics ),Lumel Technologies,1-3 Yrs,,,,,Chennai,python | data analytics | data analysis | ssas | data mining | bi | power bi | data warehousing,,5 days ago,3.7,https://www.naukri.com/job-listings-product-analyst-power-bi-data-analytics-lumel-chennai-1-to-3-years-290526507383,2026-06-04T16:06:41.961255
Naukri,power bi analyst,Power Bi Analyst,NCR Atleos,1-3 Yrs,,,,,Mumbai (All Areas)(Vikhroli),Power Bi | Power Bi Reports | Microsoft Power Bi | Bi | Data Visualization | Dax | Data Analytics | SQL,,1 week ago,3.8,https://www.naukri.com/job-listings-power-bi-analyst-ncr-corporation-mumbai-all-areas-1-to-3-years-260526014676,2026-06-04T16:06:41.961652
